Split,Subset,NumSamples,MSE,RMSE,MAE,R2,Precision@5,Recall@5,NDCG@5,Precision@10,Recall@10,NDCG@10,Precision@20,Recall@20,NDCG@20
Train,Overall,5592224,1.4163633584976196,1.1901106496866667,0.9208881855010986,0.35243905310466417,0.7726269381963929,0.8911674965106647,0.9358006892622698,0.7525725060458982,0.956441103783029,0.9438266279165324,0.7440374271532668,0.9831978033890488,0.9477130950478838
Train,Cold_User,2534197,1.8590530157089233,1.363470944211472,1.0812373161315918,0.31280575776728115,0.7561752035818257,1.0,0.9542835358713767,0.7561752035818257,1.0,0.9542835358713767,0.7561752035818257,1.0,0.9542835358713767
Train,Cold_Business,118787,2.2622644901275635,1.5040826074812392,1.2413132190704346,0.20369545704695136,0.7717207879521312,0.9679633357166668,0.9295787014222109,0.767147491307939,0.9909602465282541,0.9347970341677072,0.7660399735171003,0.9976851343293669,0.9366640023171088
Train,Cold_User_Only,2474397,1.83162260055542,1.353374523387898,1.070287823677063,0.31892013616303017,0.7571249129520797,1.0,0.9548855726596246,0.7571249129520797,1.0,0.9548855726596246,0.7571249129520797,1.0,0.9548855726596246
Train,Cold_Business_Only,58987,1.5203828811645508,1.2330380696331118,0.944282054901123,0.33881572732906806,0.7658174831892411,0.9633803385552124,0.926373709716675,0.760589954713874,0.9896670668097025,0.9323385497748119,0.7593240012367608,0.9973539817878965,0.9344725965954997
Train,Any_Cold,2593184,1.8513493537902832,1.360642992775946,1.0781220197677612,0.313367642381166,0.75634919149184,0.9993392248908326,0.9537799233939097,0.7562548645493533,0.9998135497493025,0.9538875545866919,0.7562320213412503,0.9999522545292889,0.9539260619066744
Train,Both_Cold,59800,2.994060516357422,1.7303353768438712,1.534306287765503,0.10473949759986323,0.8129868385710448,1.0,0.9519826523049874,0.8129868385710448,1.0,0.9519826523049874,0.8129868385710448,1.0,0.9519826523049874
Train,Warm,2999040,1.0402436256408691,1.0199233430218515,0.7849328517913818,0.3994320969877202,0.8143757291784276,0.6102130443284514,0.8883548833019689,0.7423140113371004,0.8440890656334996,0.9170127665245321,0.7116922266760165,0.9399143992977066,0.9308512676765859
Val,Overall,699028,1.628749132156372,1.2762245618057866,0.9909826517105103,0.25317634534078626,0.769291259760194,0.9486107092376831,0.9350036154708165,0.7606482114123427,0.9849008622146495,0.9413558860661279,0.7575808811586401,0.9964731533918754,0.9437807379555088
Val,Cold_User,341300,2.0135550498962402,1.4189979034150262,1.1269745826721191,0.24343523617489526,0.7858644994800292,0.9999557061972807,0.9569907307424479,0.7858644994800293,1.0,0.9570053930998376,0.7858644994800293,1.0,0.9570053930998376
