Split,Subset,NumSamples,MSE,RMSE,MAE,R2,Precision@5,Recall@5,NDCG@5,Precision@10,Recall@10,NDCG@10,Precision@20,Recall@20,NDCG@20
Train,Overall,5592224,1.5373743772506714,1.2399090197472842,0.997626781463623,0.29711282406984996,0.7697320789661994,0.8889552251993492,0.9300076147294203,0.7514905142940448,0.9556418833080929,0.9391517465489532,0.7436147789376445,0.9828897429802056,0.9434489189706438
Train,Cold_User,2534197,1.9458106756210327,1.394923179110962,1.151029109954834,0.2807360080563466,0.7561752035818257,1.0,0.9514852127113214,0.7561752035818257,1.0,0.9514852127113214,0.7561752035818257,1.0,0.9514852127113214
Train,Cold_Business,118787,2.51656436920166,1.5863682955737801,1.3717721700668335,0.1141833740176974,0.7703089283313164,0.9664397780355819,0.9193406866449674,0.7668247805374672,0.9908171241563501,0.9253695061119854,0.7659290416897505,0.9976089853388619,0.9273438606711057
Train,Cold_User_Only,2474397,1.9171574115753174,1.3846145353762964,1.1400052309036255,0.28711444919854245,0.7571249129520797,1.0,0.9521493520866972,0.7571249129520797,1.0,0.9521493520866972,0.7571249129520797,1.0,0.9521493520866972
Train,Cold_Business_Only,58987,1.893229603767395,1.3759468026662205,1.1331251859664917,0.17667211154552387,0.7642036503362152,0.9616388287032657,0.9152090790444966,0.7602210786331823,0.9895034701019445,0.9221003498035686,0.7591972000840229,0.997266939322208,0.9243571451705124
Train,Any_Cold,2593184,1.9446147680282593,1.3944944489055018,1.150621771812439,0.2787771512782725,0.7563200710538687,0.999307800614443,0.950830636310608,0.7562482084492456,0.9998105977659097,0.9509549842703781,0.7562297333068383,0.999950683911416,0.9509957064984415
Train,Both_Cold,59800,3.1314244270324707,1.7695831223857417,1.6071749925613403,0.06366595077815274,0.8129868385710448,1.0,0.9482219887675181,0.8129868385710448,1.0,0.9482219887675181,0.8129868385710448,1.0,0.9482219887675181
Train,Warm,2999040,1.1852456331253052,1.0886898700388945,0.8653364181518555,0.31571753714455886,0.804384761582176,0.6026314303698361,0.8753211981500746,0.7385655637814946,0.8413439189120268,0.9078295259064232,0.7102560744800133,0.9388759265966625,0.9231172294481255
Val,Overall,699028,1.6517449617385864,1.2852023038178022,1.0342552661895752,0.24263214806841404,0.7694091606789313,0.948694013827398,0.9349406132862763,0.7605603418596989,0.9848378886218752,0.9411612327710449,0.7575664216120026,0.9964644287865569,0.9436259628431508
Val,Cold_User,341300,2.03025484085083,1.4248701136773239,1.1741920709609985,0.2371604724633204,0.7858722027500673,0.9999634094673189,0.9563133995688332,0.7858644994800293,1.0,0.9563234087157811,0.7858644994800293,1.0,0.9563234087157811
Val,Cold_Business,23115,2.588303327560425,1.6088204771075065,1.3909133672714233,0.09231444103851238,0.7465927354548377,0.9838595114923592,0.9135080879101082,0.7455358099523962,0.9968120610941501,0.9171517855195055,0.7451496587692628,0.9999492463076688,0.9181718915217119
Val,Cold_User_Only,328837,1.9880982637405396,1.4099993843050214,1.1578106880187988,0.2451861709017481,0.7864364079642421,0.99996139780577,0.9569353372802227,0.7864323445753758,1.0,0.956945896706562,0.7864323445753758,1.0,0.956945896706562
Val,Cold_Business_Only,10652,1.9398198127746582,1.392774142772136,1.1387748718261719,0.1280315705664471,0.7452009702009701,0.9826011573987281,0.9129033379476497,0.744061644061644,0.9965635211586628,0.9168311076159914,0.7436453875367901,0.9999452894189736,0.9179307437119248
Val,Any_Cold,351952,2.027517557144165,1.423909251723636,1.173120141029358,0.2344572813181358,0.7844190653048592,0.9993430757072452,0.9547624068379295,0.7843709304210698,0.9998772184718526,0.9549123931667375,0.7843560580430973,0.9999980452524068,0.9549516819290138
Val,Both_Cold,12463,3.1425554752349854,1.7727254370699894,1.6064136028289795,0.06204382805515285,0.7644444444444444,1.0,0.9212650140952443,0.7644444444444444,1.0,0.9212650140952443,0.7644444444444444,1.0,0.9212650140952443
Val,Warm,347076,1.2706928253173828,1.1272501165745705,0.8934394121170044,0.24910980905188673,0.7629633189171873,0.9293196572160605,0.9274128562146687,0.7505064084473022,0.9794649120420313,0.9359939830070116,0.7463419263886133,0.9953899289471773,0.939417189966447
Test,Overall,699028,1.6585800647735596,1.2878587130479646,1.0361751317977905,0.24159682520837145,0.7670664124844832,0.9489284827349417,0.9336534855959409,0.7588708887157749,0.9850711015776994,0.9401981099254714,0.7557899573326043,0.9964747363883646,0.9426251651849801
Test,Cold_User,341718,2.0409018993377686,1.428601378739979,1.1771618127822876,0.23655442705967222,0.7817335870599429,0.9999365683476056,0.9538051783313773,0.7817185446966608,1.0,0.9538293198935517,0.7817185446966608,1.0,0.9538293198935517
Test,Cold_Business,23200,2.591397523880005,1.6097818249315665,1.3905211687088013,0.08771565858051211,0.7725970425138633,0.9833898977383266,0.9213367629764474,0.7711337030191004,0.9964625382832407,0.9253215447169607,0.7711207461669569,0.9999339846844469,0.9265907915334526
Test,Cold_User_Only,329269,1.9995462894439697,1.4140531423691154,1.1610910892486572,0.2447698129829512,0.7825645558769955,0.9999430783242259,0.9545780438120022,0.7825459965406927,1.0,0.9545979434972568,0.7825459965406927,1.0,0.9545979434972568
Test,Cold_Business_Only,10751,1.96224844455719,1.4008027857472265,1.1453862190246582,0.1277111189249317,0.768080505655356,0.9820637418691311,0.9183712672239249,0.7665003326679973,0.9961801062100463,0.9226741952111861,0.7664863413366407,0.9999287140005703,0.9240447790988549
