Split,Subset,NumSamples,MSE,RMSE,MAE,R2,Precision@5,Recall@5,NDCG@5,Precision@10,Recall@10,NDCG@10,Precision@20,Recall@20,NDCG@20
Val,Cold_Business_Only,10652,1.9096049070358276,1.3818845490980163,1.1270763874053955,0.14161349134001822,0.7460325710325709,0.9835565083540792,0.905040556779731,0.7441655941655942,0.996756571351713,0.908515162629479,0.7436453875367901,0.9999452894189736,0.9095227215891323
Val,Any_Cold,351952,2.0285348892211914,1.4242664389857649,1.1726425886154175,0.23407321662361813,0.7844413494274218,0.9993697812826972,0.9542266348704117,0.784374644441497,0.9998841159383602,0.9543649171215671,0.7843560580430973,0.9999980452524068,0.9544009160712119
Val,Both_Cold,12463,3.187187910079956,1.7852697023363042,1.6231542825698853,0.04872242153779405,0.7644444444444444,1.0,0.9311068873333388,0.7644444444444444,1.0,0.9311068873333388,0.7644444444444444,1.0,0.9311068873333388
Val,Warm,347076,1.2536152601242065,1.1196496148903936,0.8779036998748779,0.25920151292556615,0.7629569117411501,0.9292974668681563,0.9274188020649684,0.7505608694436182,0.9795296580992936,0.936063633090753,0.7463187003754786,0.9953719155114432,0.9394422967559523
Test,Overall,699028,1.650923490524292,1.2848826757818366,1.0284013748168945,0.24509785163209796,0.7671063131760951,0.9490151118840064,0.9337912438413956,0.7588553717801481,0.9850439476582756,0.9402874529830993,0.7558032575631417,0.9964940823715497,0.9427372172977534
Test,Cold_User,341718,2.042821168899536,1.4292729511536753,1.1769506931304932,0.23583645226582828,0.7817411988582302,0.9999746273390423,0.9533185408202396,0.7817185446966608,1.0,0.95332912549613,0.7817185446966608,1.0,0.95332912549613
Test,Cold_Business,23200,2.60779070854187,1.6148655388427453,1.3965266942977905,0.08194451096365707,0.7722273567467652,0.9830939290735965,0.9225157346392728,0.7715958102279729,0.9971222682636729,0.9270923430954601,0.7711669568878441,1.0,0.9280418630106951
Test,Cold_User_Only,329269,1.9999513626098633,1.4141963663543557,1.1602507829666138,0.24461682002048413,0.7825725918782813,0.9999832583306547,0.9540962614708742,0.7825459965406927,1.0,0.954101848749061,0.7825459965406927,1.0,0.954101848749061
Test,Cold_Business_Only,10751,1.9490290880203247,1.3960763188380227,1.1393147706985474,0.13358758220596,0.7676813040585496,0.9817441429716878,0.9200127019400984,0.7669993346640053,0.9968925092428086,0.9249547082770191,0.7665362415362416,1.0,0.9259800381655267
Test,Any_Cold,352469,2.0399603843688965,1.4282718173964284,1.1758027076721191,0.23324056620561695,0.7812247192384304,0.9993049442604012,0.9520950759759421,0.7811778456295814,0.9998858486732887,0.9522868127031708,0.7811608342531831,1.0,0.9523244774224684
Test,Both_Cold,12449,3.17669939994812,1.782329767452735,1.6186556816101074,0.045363233827833915,0.8291666666666668,1.0,0.9538662191964322,0.8291666666666668,1.0,0.9538662191964322,0.8291666666666668,1.0,0.9538662191964322
Test,Warm,346559,1.2552525997161865,1.1203805602187975,0.8784862160682678,0.2571642615213462,0.7619924661376933,0.9294461125523215,0.9269407564879392,0.7503340622936681,0.9796414482883447,0.9359684669650377,0.7460682579615875,0.9953762589947306,0.9393521687365503
